Row,Col
535,1303
536,536
536,1151
536,1153
536,1304
537,537
537,1024
537,1154
537,1305
538,538
538,1025
538,1155
538,1306
539,539
539,1026
539,1156
539,1307
540,540
540,1027
540,1157
540,1308
541,541
541,1028
541,1158
541,1309
542,542
542,1029
542,1159
542,1310
543,543
543,1030
543,1160
543,1311
544,544
544,1031
544,1161
544,1312
545,545
545,1032
545,1162
545,1313
546,546
546,1033
546,1163
546,1314
547,547
547,1034
547,1164
547,1315
548,548
548,1035
548,1165
548,1316
549,549
549,1036
549,1166
549,1317
550,550
550,1037
550,1167
550,1318
551,551
551,1038
551,1168
551,1319
552,552
552,1039
552,1169
552,1320
553,553
553,1040
553,1170
553,1321
554,554
554,1041
554,1171
554,1322
555,555
555,1042
555,1172
555,1323
556,556
556,1043
556,1173
556,1324
557,557
557,1044
557,1174
557,1325
558,558
558,1045
558,1175
558,1326
559,559
559,1046
559,1176
559,1327
560,560
560,1047
560,1177
560,1328
561,561
561,1048
561,1178
561,1329
562,562
562,1049
562,1179
562,1330
563,563
563,1050
563,1180
563,1331
564,564
564,1051
564,1181
564,1332
565,565
565,1052
565,1182
565,1333
566,566
566,1053
566,1183
566,1334
567,567
567,1054
567,1184
567,1335
568,568
568,1055
568,1185
568,1336
569,569
569,1056
569,1186
569,1337
570,570
570,1057
570,1187
570,1338
571,571
571,1058
571,1188
571,1339
572,572
572,1059
572,1189
572,1340
573,573
573,1060
573,1190
573,1341
574,574
574,1061
574,1191
574,1342
575,575
575,1062
575,1192
575,1343
576,576
576,1063
576,1193
576,1344
577,577
577,1064
577,1194
577,1345
578,578
578,1065
578,1195
578,1346
579,579
579,1066
579,1196
579,1347
580,580
580,1067
580,1197
580,1348
581,581
581,1068
581,1198
581,1349
582,582
582,1069
582,1199
582,1350
583,583
583,1070
583,1200
583,1351
584,584
584,1071
584,1201
584,1352
585,585
585,1072
585,1202
585,1353
586,586
586,1073
586,1203
586,1354
587,587
587,1074
587,1204
587,1355
588,588
588,1075
588,1205
588,1356
589,589
589,1076
589,1206
589,1357
590,590
590,1077
590,1207
590,1358
591,591
591,1078
591,1208
591,1359
592,592
592,1079
592,1209
592,1360
593,593
593,1080
593,1210
593,1361
594,594
594,1081
594,1211
594,1362
595,595
595,1082
595,1212
595,1363
596,596
596,1083
596,1213
596,1364
597,597
597,1084
597,1214
597,1365
598,598
598,1085
598,1215
598,1366
599,599
599,1086
599,1216
599,1367
600,600
600,1087
600,1217
600,1368
601,601
601,1088
601,1218
601,1369
602,602
602,1089
602,1219
602,1370
603,603
603,1090
603,1220
603,1371
604,604
604,1091
604,1221
604,1372
605,605
605,1092
605,1222
605,1373
606,606
606,1093
606,1223
606,1374
607,607
607,1094
607,1224
607,1375
608,608
608,1095
608,1225
608,1376
609,609
609,1096
609,1226
609,1377
610,610
610,1097
610,1227
610,1378
611,611
611,1098
611,1228
611,1379
612,612
612,1099
612,1229
612,1380
613,613
613,1100
613,1230
613,1381
614,614
614,1101
614,1231
614,1382
615,615
615,1102
615,1232
615,1383
616,616
616,1103
616,1233
616,1384
617,617
617,1104
617,1234
617,1385
618,618
618,1105
618,1235
618,1386
619,619
619,1106
619,1236
619,1387
620,620
620,1107
620,1237
620,1388
621,621
621,1108
621,1238
621,1389
622,622
622,1109
622,1239
622,1390
623,623
623,1110
623,1240
623,1391
624,624
624,1111
624,1241
624,1392
625,625
625,1112
625,1242
625,1393
626,626
626,1113
626,1243
626,1394
627,627
627,1114
627,1244
627,1395
628,628
628,1115
628,1245
628,1396
629,629
629,1116
629,1246
629,1397
630,630
630,1117
630,1247
630,1398
631,631
631,1118
631,1248
631,1399
632,632
632,1119
632,1249
632,1400
633,633
633,1120
633,1250
633,1401
634,634
634,1121
634,1251
